algo,n,trial,elapsed_ms,comparisons,maxDepth
closest,1000,1,4,0,0
closest,1000,2,1,0,0
closest,1000,3,1,0,0
closest,1000,1,1,0,0
closest,1000,2,1,0,0
closest,1000,3,2,0,0
closest,2000,1,1,0,0
closest,2000,2,2,0,0
closest,2000,3,1,0,0
closest,4000,1,4,0,0
closest,4000,2,3,0,0
closest,4000,3,6,0,0
closest,8000,1,9,0,0
closest,8000,2,9,0,0
closest,8000,3,18,0,0
closest,1000,1,3,0,0
closest,1000,2,1,0,0
closest,1000,3,0,0,0
closest,1000,1,0,0,0
closest,1000,2,0,0,0
closest,1000,3,0,0,0
closest,2000,1,1,0,0
closest,2000,2,1,0,0
closest,2000,3,1,0,0
closest,4000,1,2,0,0
closest,4000,2,3,0,0
closest,4000,3,3,0,0
closest,8000,1,8,0,0
closest,8000,2,8,0,0
closest,8000,3,14,0,0
