algo,n,trial,elapsed_ms,comparisons,maxDepth
mergesort,1000,1,2,8738,10
mergesort,1000,2,0,8738,10
mergesort,1000,3,0,8738,10
mergesort,2000,1,0,19440,11
mergesort,2000,2,0,19440,11
mergesort,2000,3,0,19440,11
mergesort,4000,1,0,42808,12
mergesort,4000,2,0,42808,12
mergesort,4000,3,0,42808,12
mergesort,8000,1,0,93681,13
mergesort,8000,2,0,93681,13
mergesort,8000,3,0,93681,13
mergesort,16000,1,1,203348,14
mergesort,16000,2,2,203348,14
mergesort,16000,3,1,203348,14
mergesort,1000,1,1,8738,10
mergesort,1000,2,0,8738,10
mergesort,1000,3,0,8738,10
mergesort,2000,1,0,19440,11
mergesort,2000,2,0,19440,11
mergesort,2000,3,0,19440,11
mergesort,4000,1,0,42808,12
mergesort,4000,2,0,42808,12
mergesort,4000,3,0,42808,12
mergesort,8000,1,1,93681,13
mergesort,8000,2,0,93681,13
mergesort,8000,3,0,93681,13
mergesort,16000,1,1,203348,14
mergesort,16000,2,1,203348,14
mergesort,16000,3,1,203348,14
