algo,n,trial,elapsed_ms,comparisons,maxDepth
quicksort,1000,1,0,14558,22
quicksort,1000,2,0,13817,21
quicksort,1000,3,0,15657,23
quicksort,2000,1,0,31706,25
quicksort,2000,2,0,30152,25
quicksort,2000,3,0,30871,23
quicksort,4000,1,1,63358,27
quicksort,4000,2,0,66633,27
quicksort,4000,3,1,65301,28
quicksort,8000,1,3,141559,31
quicksort,8000,2,0,138073,28
quicksort,8000,3,1,148044,30
quicksort,16000,1,1,327447,31
quicksort,16000,2,2,312730,32
quicksort,16000,3,1,317889,33
quicksort,1000,1,1,13992,21
quicksort,1000,2,0,15143,24
quicksort,1000,3,0,14307,22
quicksort,2000,1,0,30400,24
quicksort,2000,2,0,30527,26
quicksort,2000,3,0,30401,23
quicksort,4000,1,0,63030,24
quicksort,4000,2,0,72814,29
quicksort,4000,3,0,63502,23
quicksort,8000,1,0,149337,34
quicksort,8000,2,0,134348,26
quicksort,8000,3,1,139971,31
quicksort,16000,1,1,308552,31
quicksort,16000,2,1,300370,32
quicksort,16000,3,1,302567,33
quicksort,1000,1,0,13406,21
quicksort,1000,2,0,13200,23
quicksort,1000,3,0,14804,26
quicksort,2000,1,0,29725,23
quicksort,2000,2,0,29225,24
quicksort,2000,3,0,29607,25
quicksort,4000,1,0,64716,30
quicksort,4000,2,0,64087,28
quicksort,4000,3,0,65927,27
quicksort,8000,1,1,146665,28
quicksort,8000,2,0,147976,30
quicksort,8000,3,0,139740,32
quicksort,16000,1,1,316523,32
quicksort,16000,2,1,310706,34
quicksort,16000,3,1,311600,33
