algo,n,trial,elapsed_ms,comparisons,maxDepth
select,1000,1,1,4351,3
select,1000,2,0,4351,3
select,1000,3,0,4351,3
select,2000,1,0,8836,4
select,2000,2,0,8836,4
select,2000,3,0,8836,4
select,4000,1,0,18315,4
select,4000,2,0,18315,4
select,4000,3,3,18315,4
select,8000,1,0,37695,5
select,8000,2,1,37695,5
select,8000,3,1,37695,5
select,16000,1,1,77090,5
select,16000,2,1,77090,5
select,16000,3,2,77090,5
select,1000,1,1,4351,3
select,1000,2,0,4351,3
select,1000,3,0,4351,3
select,2000,1,0,8836,4
select,2000,2,0,8836,4
select,2000,3,0,8836,4
select,4000,1,0,18315,4
select,4000,2,0,18315,4
select,4000,3,0,18315,4
select,8000,1,0,37695,5
select,8000,2,1,37695,5
select,8000,3,0,37695,5
select,16000,1,1,77090,5
select,16000,2,0,77090,5
select,16000,3,2,77090,5
select,1000,1,1,4351,3
select,1000,2,0,4351,3
select,1000,3,0,4351,3
select,2000,1,0,8836,4
select,2000,2,0,8836,4
select,2000,3,0,8836,4
select,4000,1,0,18315,4
select,4000,2,0,18315,4
select,4000,3,0,18315,4
select,8000,1,0,37695,5
select,8000,2,1,37695,5
select,8000,3,0,37695,5
select,16000,1,1,77090,5
select,16000,2,0,77090,5
select,16000,3,0,77090,5
